REF_DATE,GEO,DGUID,Coordinate,Long-form data quality indicators – Housing characteristics (20):Tenure - Non-response rate[1],Symbol,Long-form data quality indicators – Housing characteristics (20):Tenure - Imputation rate[2],Symbol,Long-form data quality indicators – Housing characteristics (20):Condominium status - Non-response rate[3],Symbol,Long-form data quality indicators – Housing characteristics (20):Condominium status - Imputation rate[4],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of rooms - Non-response rate[5],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of rooms - Imputation rate[6],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of bedrooms - Non-response rate[7],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of bedrooms - Imputation rate[8],Symbol,Long-form data quality indicators – Housing characteristics (20):Period of construction - Non-response rate[9],Symbol,Long-form data quality indicators – Housing characteristics (20):Period of construction - Imputation rate[10],Symbol,Long-form data quality indicators – Housing characteristics (20):Dwelling condition - Non-response rate[11],Symbol,Long-form data quality indicators – Housing characteristics (20):Dwelling condition - Imputation rate[12],Symbol,Long-form data quality indicators – Housing characteristics (20):Rent monthly cash - Non-response rate[13],Symbol,Long-form data quality indicators – Housing characteristics (20):Rent monthly cash - Imputation rate[14],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly mortgage payments - Non-response rate[15],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly mortgage payments - Imputation rate[16],Symbol,Long-form data quality indicators – Housing characteristics (20):Value (owner estimated) - Non-response rate[17],Symbol,Long-form data quality indicators – Housing characteristics (20):Value (owner estimated) - Imputation rate[18],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly use or occupancy payment for dwelling - Non-response rate[19],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly use or occupancy payment for dwelling - Imputation rate[20],Symbol
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,18,1.5,,1.3,,1.8,,1.6,,1.5,,4.1,,1.4,,1.6,,1.7,,1.7,,1.3,,1.3,,3.0,,3.7,,4.4,,4.4,,4.9,,5.4,,0.0,,0.0,
2021,Grand Falls-Windsor (1006017) T,2021A00051006017,19,1.5,,1.3,,1.8,,1.6,,1.5,,4.1,,1.4,,1.6,,1.7,,1.7,,1.3,,1.3,,3.0,,3.7,,4.4,,4.4,,4.9,,5.4,,0.0,,0.0,
2021,"Gander (CA), N.L.",2021S0504011,20,1.2,,1.0,,1.0,,0.7,,1.1,,3.0,,1.0,,1.6,,1.7,,1.7,,0.9,,0.9,,2.6,,3.1,,2.2,,2.2,,2.8,,3.4,,0.0,,0.0,
2021,"Division No.  6, Subd. E (1006008) SNO",2021A00051006008,21,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Gander (1006009) T,2021A00051006009,22,0.8,,0.8,,0.7,,0.5,,0.9,,2.8,,0.7,,1.2,,1.5,,1.5,,0.7,,0.7,,2.1,,2.7,,1.6,,1.6,,2.0,,2.2,,0.0,,0.0,
2021,Appleton (1006011) T,2021A00051006011,23,3.6,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.3,,10.4,,0.0,,0.0,
2021,Glenwood (1006012) T,2021A00051006012,24,4.5,,4.5,,6.1,,4.5,,6.1,,9.1,,4.5,,6.1,,6.1,,6.1,,4.5,,4.5,,0.0,,0.0,,8.9,,8.9,,8.9,,12.5,,0.0,,0.0,
2021,"Corner Brook (CA), N.L.",2021S0504015,25,2.9,,2.5,,2.8,,2.6,,2.7,,4.9,,2.6,,3.0,,3.8,,3.8,,2.9,,2.9,,7.0,,7.5,,3.9,,3.9,,4.9,,5.8,,0.0,,0.0,
2021,"Division No.  5, Subd. F (1005010) SNO",2021A00051005010,26,3.3,,3.3,,4.9,,9.8,,3.3,,6.6,,3.3,,3.3,,3.3,,3.3,,3.3,,3.3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Steady Brook (1005011) T,2021A00051005011,27,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Pasadena (1005012) T,2021A00051005012,28,2.3,,2.0,,2.7,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.7,,2.7,,0.0,,0.0,,2.4,,2.4,,2.9,,4.1,,0.0,,0.0,
2021,Massey Drive (1005017) T,2021A00051005017,29,1.6,,1.6,,1.6,,1.6,,1.6,,4.8,,1.6,,1.6,,1.6,,1.6,,1.6,,1.6,,0.0,,0.0,,2.9,,2.9,,2.9,,3.8,,0.0,,0.0,
2021,Corner Brook (1005018) CY,2021A00051005018,30,3.3,,2.9,,3.1,,2.8,,3.2,,6.0,,3.0,,3.5,,4.5,,4.5,,3.3,,3.3,,8.0,,8.4,,4.2,,4.2,,5.4,,6.4,,0.0,,0.0,
2021,Humber Arm South (1005020) T,2021A00051005020,31,1.4,,1.4,,2.9,,2.9,,1.4,,4.3,,1.4,,1.4,,3.6,,3.6,,2.2,,2.2,,0.0,,0.0,,5.4,,5.4,,5.4,,8.0,,0.0,,0.0,
2021,Meadows (1005025) T,2021A00051005025,32,4.7,,4.7,,4.7,,4.7,,4.7,,4.7,,4.7,,4.7,,4.7,,4.7,,4.7,,4.7,,0.0,,0.0,,0.0,,0.0,,10.5,,10.5,,0.0,,0.0,
2021,Hughes Brook (1005028) T,2021A00051005028,33,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Irishtown-Summerside (1005030) T,2021A00051005030,34,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.5,,4.5,,0.0,,0.0,
2021,Mount Moriah (1005033) T,2021A00051005033,35,3.6,,3.6,,3.6,,3.6,,3.6,,3.6,,3.6,,3.6,,5.5,,5.5,,3.6,,3.6,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,,0.0,,0.0,
2021,Prince Edward Island,2021A000211,36,2.2,,2.0,,2.3,,1.9,,2.1,,3.8,,2.1,,2.3,,3.1,,3.1,,2.2,,2.2,,4.7,,4.8,,5.0,,5.1,,6.4,,7.4,,18.8,,18.8,
2021,"Charlottetown (CA), P.E.I.",2021S0504105,37,2.1,,1.9,,2.0,,1.6,,2.0,,3.7,,2.0,,2.2,,3.3,,3.3,,2.1,,2.1,,4.6,,4.7,,4.0,,4.0,,5.0,,5.8,,20.0,,20.0,
2021,"East River, Part 2 (1101052) FD",2021A00051101052,38,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.5,,4.5,,0.0,,0.0,,11.1,,11.1,,13.9,,13.9,,0.0,,0.0,
2021,Crossroads (1102010) FD,2021A00051102010,39,2.1,,2.1,,2.2,,2.2,,2.1,,4.2,,2.1,,2.1,,2.8,,2.8,,2.8,,2.8,,0.0,,0.0,,8.7,,8.7,,7.9,,9.5,,0.0,,0.0,
2021,Johnstons River (1102015) FD,2021A00051102015,40,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,New Glasgow (1102017) FD,2021A00051102017,41,2.7,,2.7,,3.0,,3.0,,2.7,,3.8,,2.7,,2.7,,2.9,,2.9,,2.7,,2.7,,13.3,,13.3,,6.6,,6.6,,8.0,,9.4,,0.0,,0.0,
2021,Kingston (1102022) RM,2021A00051102022,42,0.0,,0.0,,0.0,,0.0,,0.0,,3.8,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Rocky Point 3 (1102030) IRI,2021A00051102030,43,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Clyde River (1102037) RM,2021A00051102037,44,0.0,,0.0,,0.0,,0.0,,0.0,,5.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.3,,12.5,,0.0,,0.0,
2021,Miltonvale Park (1102040) RM,2021A00051102040,45,3.1,,3.1,,3.1,,5.2,,3.1,,4.1,,3.1,,3.1,,3.1,,3.1,,3.1,,3.1,,0.0,,0.0,,7.1,,7.1,,7.1,,9.4,,0.0,,0.0,
2021,Hunter River (1102043) RM,2021A00051102043,46,5.7,,5.7,,6.1,,6.1,,5.7,,5.7,,5.7,,5.7,,8.6,,8.6,,5.7,,5.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Union Road (1102050) RM,2021A00051102050,47,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Brackley (1102055) RM,2021A00051102055,48,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Scotchfort 4 (1102057) IRI,2021A00051102057,49,21.4,,21.4,,21.4,,21.4,,21.4,,28.6,,21.4,,21.4,,21.4,,21.4,,20.0,,20.0,,0.0,,0.0,,66.7,,66.7,,66.7,,0.0,,23.1,,23.1,
2021,Mount Stewart (1102059) RM,2021A00051102059,50,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,York (1102061) RM,2021A00051102061,51,6.7,,6.7,,6.9,,6.9,,6.7,,6.7,,6.7,,6.7,,6.7,,6.7,,6.7,,6.7,,0.0,,0.0,,12.0,,12.0,,12.0,,12.0,,0.0,,0.0,
2021,"East River, Part 1 (1102064) FD",2021A00051102064,52,2.7,,2.2,,2.3,,2.3,,2.2,,6.0,,2.2,,2.2,,2.2,,2.2,,2.2,,2.2,,0.0,,0.0,,7.3,,7.3,,8.5,,8.5,,0.0,,0.0,
2021,North Shore (1102067) RM,2021A00051102067,53,3.6,,2.6,,2.1,,2.1,,2.6,,3.6,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,,0.0,,3.6,,3.6,,4.2,,4.8,,0.0,,0.0,
2021,West River (1102068) RM,2021A00051102068,54,0.0,,0.0,,0.0,,0.0,,0.7,,1.5,,0.7,,0.7,,1.1,,1.1,,0.0,,0.0,,0.0,,0.0,,3.6,,3.6,,4.5,,5.7,,0.0,,0.0,
2021,Winsloe North (1102069) FD,2021A00051102069,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Warren Grove (1102070) RM,2021A00051102070,56,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.7,,7.7,,7.7,,7.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14.3,,0.0,,0.0,
2021,North Shore (1102073) FD,2021A00051102073,57,1.8,,1.8,,1.9,,0.0,,2.7,,7.3,,2.7,,2.7,,1.8,,1.8,,1.8,,1.8,,0.0,,0.0,,0.0,,0.0,,4.5,,5.6,,0.0,,0.0,
2021,Charlottetown (1102075) CY,2021A00051102075,58,2.1,,1.8,,2.1,,1.3,,2.0,,4.0,,2.0,,2.4,,3.6,,3.6,,2.2,,2.2,,4.1,,4.2,,3.2,,3.3,,4.3,,4.7,,0.0,,0.0,
2021,Stratford (1102080) T,2021A00051102080,59,2.2,,2.0,,2.0,,1.4,,2.0,,3.3,,2.0,,2.0,,2.4,,2.4,,2.3,,2.3,,5.2,,5.2,,2.8,,2.8,,4.1,,4.8,,0.0,,0.0,
2021,Cornwall (1102085) T,2021A00051102085,60,1.5,,1.1,,1.5,,1.1,,1.5,,2.6,,1.5,,1.7,,4.9,,4.9,,1.3,,1.3,,6.3,,6.3,,2.3,,2.3,,2.3,,2.6,,0.0,,0.0,
2021,"Summerside (CA), P.E.I.",2021S0504110,61,1.9,,1.6,,2.1,,1.6,,1.9,,4.5,,1.7,,2.3,,2.5,,2.5,,1.9,,1.9,,4.2,,4.4,,3.3,,3.6,,4.3,,5.0,,0.0,,0.0,
2021,Linkletter (1103023) RM,2021A00051103023,62,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Miscouche (1103024) RM,2021A00051103024,63,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Summerside (1103025) CY,2021A00051103025,64,1.8,,1.3,,2.0,,1.3,,1.6,,4.4,,1.4,,2.0,,2.3,,2.3,,1.8,,1.8,,4.4,,4.5,,2.8,,3.0,,3.3,,4.0,,0.0,,0.0,
2021,Miscouche (1103040) FD,2021A00051103040,65,7.4,,7.4,,7.5,,7.5,,10.3,,10.3,,10.3,,10.3,,8.8,,8.8,,8.8,,8.8,,0.0,,0.0,,13.1,,13.1,,19.7,,19.7,,0.0,,0.0,
2021,Nova Scotia,2021A000212,66,2.5,,2.2,,2.5,,2.0,,2.3,,4.0,,2.3,,2.6,,3.3,,3.3,,2.4,,2.4,,4.7,,4.9,,4.2,,4.3,,5.5,,6.5,,33.0,,33.2,
2021,"Halifax (CMA), N.S.",2021S0503205,67,2.3,,1.9,,2.1,,1.4,,2.0,,4.0,,2.0,,2.3,,3.2,,3.2,,2.2,,2.2,,4.2,,4.3,,3.3,,3.4,,4.2,,5.0,,17.3,,17.3,
2021,East Hants (1208008) MD,2021A00051208008,68,2.3,,2.1,,2.4,,2.3,,2.2,,3.2,,2.1,,2.3,,2.4,,2.4,,2.4,,2.4,,4.8,,5.1,,4.6,,4.7,,5.3,,6.4,,0.0,,0.0,
2021,Indian Brook 14 (1208014) IRI,2021A00051208014,69,7.7,,8.2,,7.9,,7.9,,7.7,,8.6,,7.7,,7.7,,8.2,,8.2,,7.7,,7.7,,0.0,,0.0,,10.5,,11.3,,13.7,,15.3,,15.8,,15.8,
2021,Cole Harbour 30 (1209019) IRI,2021A00051209019,70,0.0,,0.0,,0.0,,0.0,,7.7,,11.5,,7.7,,7.7,,7.7,,7.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Halifax (1209034) RGM,2021A00051209034,71,2.2,,1.9,,2.1,,1.3,,2.0,,4.0,,2.0,,2.3,,3.2,,3.2,,2.1,,2.1,,4.2,,4.3,,3.1,,3.3,,4.1,,4.9,,0.0,,0.0,
2021,Beaver Lake 17 (1209037) IRI,2021A00051209037,72,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2021,Sheet Harbour 36 (1209038) IRI,2021A00051209038,73,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2021,Wallace Hills 14A (1209800) IRI,2021A00051209800,74,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2021,"Kentville (CA), N.S.",2021S0504210,75,1.9,,1.6,,1.8,,1.6,,1.5,,3.3,,1.6,,1.7,,3.1,,3.1,,1.6,,1.6,,4.8,,4.9,,3.7,,3.8,,4.6,,5.5,,0.0,,0.0,
2021,"Kings, Subd. C (1207011) SC",2021A00051207011,76,1.8,,1.7,,1.8,,1.5,,1.7,,4.5,,1.8,,2.2,,4.1,,4.1,,1.6,,1.6,,4.6,,5.0,,2.6,,2.6,,4.2,,5.8,,0.0,,0.0,
2021,Kentville (1207012) T,2021A00051207012,77,1.7,,1.2,,1.9,,1.5,,1.4,,3.0,,1.4,,1.4,,2.9,,2.9,,1.4,,1.4,,3.4,,3.8,,1.8,,1.8,,3.4,,4.0,,0.0,,0.0,
2021,"Kings, Subd. B (1207016) SC",2021A00051207016,78,1.9,,1.7,,1.9,,1.9,,1.5,,2.5,,1.4,,1.4,,2.5,,2.5,,1.6,,1.6,,6.3,,6.3,,5.2,,5.5,,5.5,,6.0,,0.0,,0.0,
2021,"Truro (CA), N.S.",2021S0504215,79,3.4,,2.8,,3.6,,3.0,,3.1,,5.0,,3.0,,3.4,,3.6,,3.6,,3.1,,3.1,,4.6,,4.7,,4.8,,4.9,,6.2,,6.7,,37.0,,37.0,
2021,"Colchester, Subd. C (1210001) SC",2021A00051210001,80,2.4,,1.7,,2.2,,2.0,,2.0,,3.3,,2.0,,2.3,,2.4,,2.4,,2.0,,2.0,,4.5,,5.0,,4.7,,4.8,,5.9,,6.3,,0.0,,0.0,
2021,Millbrook 27 (1210003) IRI,2021A00051210003,81,37.9,,36.4,,36.4,,36.4,,36.4,,37.9,,36.4,,37.9,,37.9,,37.9,,36.4,,36.4,,0.0,,0.0,,50.0,,50.0,,50.0,,60.0,,37.0,,37.0,
2021,Truro (1210006) T,2021A00051210006,82,2.8,,2.1,,3.8,,2.5,,2.7,,5.0,,2.5,,3.1,,3.2,,3.2,,2.5,,2.5,,3.7,,3.8,,3.7,,4.1,,3.9,,4.1,,0.0,,0.0,
2021,"Colchester, Subd. B (1210008) SC",2021A00051210008,83,3.0,,2.5,,3.1,,2.8,,2.8,,4.8,,2.8,,3.0,,3.3,,3.3,,2.8,,2.8,,5.7,,5.7,,5.0,,5.0,,6.9,,7.6,,0.0,,0.0,
2021,"New Glasgow (CA), N.S.",2021S0504220,84,2.4,,2.1,,2.1,,1.8,,2.1,,3.6,,2.2,,2.7,,3.6,,3.6,,2.1,,2.1,,4.5,,5.0,,4.3,,4.4,,5.5,,6.6,,29.6,,29.6,
2021,"Pictou, Subd. B (1212006) SC",2021A00051212006,85,2.7,,2.3,,1.7,,1.7,,1.9,,4.0,,1.9,,2.3,,2.9,,2.9,,2.1,,2.1,,5.1,,5.1,,6.6,,6.8,,8.9,,10.7,,0.0,,0.0,
2021,Westville (1212008) T,2021A00051212008,86,0.6,,0.6,,0.6,,0.6,,0.6,,2.2,,1.3,,1.6,,1.3,,1.3,,1.0,,1.0,,5.7,,5.7,,2.7,,3.1,,4.0,,4.0,,0.0,,0.0,
2021,Stellarton (1212009) T,2021A00051212009,87,1.3,,0.8,,0.8,,0.8,,0.8,,2.4,,0.8,,1.6,,2.7,,2.7,,0.8,,0.8,,4.2,,4.9,,1.3,,1.3,,3.4,,4.3,,0.0,,0.0,
2021,"Pictou, Subd. C (1212011) SC",2021A00051212011,88,2.2,,1.7,,1.9,,1.8,,1.9,,3.4,,2.0,,2.6,,2.0,,2.0,,1.7,,1.7,,0.0,,0.0,,5.4,,5.4,,6.3,,7.4,,0.0,,0.0,
2021,New Glasgow (1212014) T,2021A00051212014,89,2.4,,2.0,,2.6,,1.8,,2.2,,3.4,,2.4,,3.0,,4.7,,4.7,,2.2,,2.2,,4.1,,4.4,,2.8,,3.2,,4.2,,5.2,,0.0,,0.0,
2021,Trenton (1212016) T,2021A00051212016,90,3.7,,3.2,,2.3,,1.4,,3.2,,4.1,,3.2,,3.2,,7.3,,7.3,,2.7,,2.7,,8.8,,8.8,,3.1,,4.3,,3.7,,4.3,,0.0,,0.0,
2021,Fisher's Grant 24 (1212019) IRI,2021A00051212019,91,28.1,,28.1,,28.1,,28.1,,25.0,,25.0,,25.0,,25.0,,28.1,,28.1,,28.1,,28.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,29.6,,29.6,
2021,Merigomish Harbour 31 (1212023) IRI,2021A00051212023,92,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2021,"Cape Breton (CA), N.S.",2021S0504225,93,3.9,,3.5,,3.8,,3.4,,3.4,,5.0,,3.4,,3.7,,4.4,,4.4,,3.4,,3.4,,6.6,,7.0,,5.0,,5.2,,6.7,,7.6,,32.6,,33.5,
2021,Membertou 28B (1217008) IRI,2021A00051217008,94,29.6,,35.8,,32.1,,30.9,,29.6,,32.1,,30.9,,33.3,,30.9,,30.9,,30.9,,30.9,,33.3,,33.3,,40.0,,40.0,,60.0,,60.0,,40.9,,40.9,
2021,Eskasoni 3 (1217020) IRI,2021A00051217020,95,24.5,,28.7,,25.5,,25.0,,23.1,,24.5,,24.1,,24.1,,26.9,,26.9,,24.5,,24.5,,24.0,,24.0,,31.4,,34.3,,51.4,,57.1,,29.0,,30.3,
2021,Cape Breton (1217030) RGM,2021A00051217030,96,3.1,,2.5,,3.0,,2.6,,2.6,,4.2,,2.6,,2.9,,3.5,,3.5,,2.6,,2.6,,6.3,,6.8,,4.8,,4.9,,6.4,,7.3,,0.0,,0.0,
2021,New Brunswick,2021A000213,97,3.1,,2.8,,3.0,,2.7,,2.9,,4.6,,2.9,,3.2,,3.9,,3.9,,3.0,,3.0,,5.8,,6.1,,4.9,,5.1,,6.5,,7.6,,28.1,,28.3,
